mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
0; 0; 0.9; -2623.74; 14475.7; 0; -51.1772; [10, 10, 10, -10, 0, -10, 10, 0, 0, 10, -10, 10, -10, -10, 10, 0, 0, -10, 10, 10, 0, ]; -102.911; [0, -10, 10, -10, -10, -10, 10, 10, 0, -10, 10, 0, -10, -10, -10, -10, 0, -10, 0, 10, 0, ]; -136846; [-10, 0, -10, -10, 0, 10, -10, 10, -10, -10, -10, 10, 10, 0, 0, -10, -10, 0, -10, 0, 10, ];
0; 0; 0.9; -333.956; 879.219; 1; -51.1772; [10, 10, 10, -10, 0, -10, 10, 0, 0, 10, -10, 10, -10, -10, 10, 0, 0, -10, 10, 10, 0, ]; -80.7066; [10, 10, 10, 0, -10, 0, -10, -10, -10, 10, -10, -10, -10, 10, 10, 0, -10, -10, 10, 0, -10, ]; -5091.55; [-10, 10, 0, -10, -10, 0, 0, -10, -10, -10, 0, -10, -10, 10, -10, -10, -10, 0, 0, 10, 0, ];
0; 0; 0.9; -376.536; 1133.76; 2; -55.6082; [0, -10, 10, -10, -10, 10, 10, 10, 10, 10, 0, -10, 10, -10, -10, 0, 0, 0, 10, 10, 0, ]; -74.5193; [-10, 10, 10, 0, -10, 0, 0, 10, 10, 0, -10, -10, -10, 0, 10, 0, -10, 0, 10, 10, -10, ]; -8814.98; [-10, -10, 0, 10, 0, 10, -10, -10, -10, -10, 10, 0, 10, 10, 0, 0, -10, 0, 10, -10, 10, ];
0; 0; 0.9; -737.1; 4165.85; 3; -58.2457; [-10, 0, 0, -10, 0, 0, 10, -10, -10, -10, 10, 0, 0, 10, 0, 0, -10, 0, 10, -10, 10, ]; -73.9512; [-10, 0, 0, 0, 0, 0, -10, 0, -10, -10, -10, 0, 0, 10, 10, -10, -10, -10, 10, -10, 10, ]; -41111.3; [-10, 0, 0, 0, -10, 0, 10, -10, -10, -10, -10, -10, -10, 0, 10, 0, -10, -10, 0, 0, -10, ];
0; 0; 0.9; -1453.94; 9108.66; 4; -58.2457; [-10, 0, 0, -10, 0, 0, 10, -10, -10, -10, 10, 0, 0, 10, 0, 0, -10, 0, 10, -10, 10, ]; -73.9512; [-10, 0, 0, 0, 0, 0, -10, 0, -10, -10, -10, 0, 0, 10, 10, -10, -10, -10, 10, -10, 10, ]; -89609.4; [10, -10, -10, -10, 0, -10, 10, 10, -10, -10, -10, -0, 0, 0, -10, 0, 10, -10, 10, 10, -10, ];
0; 0; 0.9; -414.884; 1146.9; 5; -58.2457; [-10, 0, 0, -10, 0, 0, 10, -10, -10, -10, 10, 0, 0, 10, 0, 0, -10, 0, 10, -10, 10, ]; -73.482; [10, 0, -10, 0, 0, -10, 10, 0, 10, -10, -10, 0, 0, 0, 10, 10, -10, 0, 10, 0, -10, ]; -6145.41; [-10, 0, 0, -10, 0, 0, 10, -10, -10, -10, 10, 0, 0, 10, 0, 0, -10, 0, 10, -10, 10, ];
0; 0; 0.9; -545.777; 2380.41; 6; -57.7468; [10, -10, 0, 10, -10, 10, 10, -10, -10, -10, -10, 0, 0, -10, 10, 0, -10, 0, 10, -10, 0, ]; -72.9649; [10, 0, 0, -10, 0, 0, -10, -10, -10, 10, -10, -10, -10, 10, 0, 0, -10, 0, 10, 0, 10, ]; -21886.6; [0, -10, -10, 10, -10, -10, 10, 10, -10, -10, -10, 0, 0, 10, 10, 10, -10, 0, 0, -10, 0, ];
0; 0; 0.9; -1010.89; 3947.59; 7; -54.3287; [10, 0, 0, 10, 0, 10, -10, -10, -10, -10, -10, 10, 0, -10, 10, -10, 10, -10, -10, -10, 0, ]; -73.2212; [-10, -10, 10, -10, -10, 0, 10, 10, 0, -10, -10, 0, -10, 10, 10, 0, -10, -10, 10, -10, 10, ]; -30242.8; [-10, -10, -10, 0, -10, 10, 10, -10, 10, 0, -10, 0, -10, -10, 10, 0, -10, -10, 0, 10, -10, ];
0; 0; 0.9; -408.877; 1269.87; 8; -54.3287; [10, 0, 0, 10, 0, 10, -10, -10, -10, -10, -10, 10, 0, -10, 10, -10, 10, -10, -10, -10, 0, ]; -73.2206; [-10, 0, 0, 10, 0, 10, 10, -10, -10, -10, -10, 10, 0, 10, 0, -10, 10, -10, 10, -10, 10, ]; -8809.65; [0, -10, 0, -10, 0, 0, -10, 0, -10, 10, -10, 10, -10, 0, 0, 0, 0, 0, -10, -10, 10, ];
0; 0; 0.9; -410.114; 1152.36; 9; -54.3287; [10, 0, 0, 10, 0, 10, -10, -10, -10, -10, -10, 10, 0, -10, 10, -10, 10, -10, -10, -10, 0, ]; -74.2369; [-10, -10, 10, 0, -10, 0, 0, 10, 0, 10, -10, 10, -10, 0, 10, 0, -10, -10, 0, 10, 10, ]; -7378.82; [0, 10, 0, -10, -10, 0, -10, -10, -10, 0, -10, -10, 0, 10, -10, 10, 0, 0, 10, 10, -10, ];
0; 0; 0.9; -304.425; 936.173; 10; -54.3287; [10, 0, 0, 10, 0, 10, -10, -10, -10, -10, -10, 10, 0, -10, 10, -10, 10, -10, -10, -10, 0, ]; -74.763; [0, -10, -10, -10, -10, 10, 10, 10, 10, 0, -10, 0, 0, -10, 10, 10, 0, 0, 0, -10, -10, ]; -7612.79; [10, 0, -10, -10, 0, 0, 10, 0, 10, 10, 10, -10, -10, 10, 10, 0, 0, 0, 0, 10, 10, ];
0; 0; 0.9; -2022.28; 17763.2; 11; -56.6336; [-10, -10, 10, -10, -10, 0, 10, 10, 10, -10, 10, -10, 0, 10, 10, 0, -0, 0, 0, -10, 10, ]; -73.9506; [0, 0, -10, 0, -10, 10, 10, 10, 10, 0, 0, 0, 0, 0, 10, 10, -10, 0, 0, -10, -10, ]; -178633; [-10, 0, -10, 0, -10, -10, 10, 10, -10, -10, 0, 10, 0, -10, 10, -10, -10, 0, 0, -10, -10, ];
0; 0; 0.9; -439.601; 1330.86; 12; -50.5283; [-10, -10, 0, -10, -10, 0, 0, 10, -10, 10, 10, 10, 10, 0, 10, 0, -10, -10, 10, 10, 10, ]; -74.6712; [-10, 0, 0, 0, -10, 0, -10, -10, -10, 10, 10, 10, 0, -10, 10, 0, 10, 0, 0, -10, 10, ]; -8809.85; [-10, 0, 0, -10, -10, 10, 10, 10, -10, -10, 10, -10, 0, 10, -10, 0, -10, 0, 10, -10, 10, ];
