mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
0; 0; 0.9; -47.9703; 14.693; 0; -17.1429; [-10, 0, 0, 0, 10, 0, 0, 10, 0, 10, 10, 0, 0, 10, 0, 10, 10, 0, 0, -10, -10, ]; -48.125; [0, 0, 0, -10, -10, -10, -10, 0, -10, 10, 10, -10, 10, 0, 0, 10, -10, -10, 0, 10, 10, ]; -80.9091; [-10, 0, 0, 0, 10, -10, 10, -10, 0, -10, 10, 0, -10, -10, 10, 0, -10, 0, 10, -10, 10, ];
0; 0; 0.9; -42.1288; 12.4955; 1; -13.3333; [10, 10, 10, 0, 10, 10, 10, 10, 0, 0, 0, 10, 10, 10, 0, 10, -10, 10, -10, 10, -10, ]; -41.0526; [10, 0, 0, 10, -10, -10, 0, 10, -10, 0, -10, 10, 0, 10, 0, 0, 10, 10, 0, 10, 0, ]; -80; [-10, 0, -10, -10, 0, -10, 10, 0, -10, -10, 0, -10, 0, 10, -10, -10, -10, 10, -10, 10, 0, ];
0; 0; 0.9; -38.7811; 11.3709; 2; -11.7391; [-10, -10, 10, 0, 10, 0, 0, 10, 0, 10, 10, 0, 0, 10, 10, 10, 10, 10, 0, 10, -10, ]; -38.5; [-10, -10, 10, 10, 10, 10, 10, 10, 10, -10, 0, 10, 0, -10, 0, 0, 10, -10, 0, 10, 0, ]; -71.6667; [10, -10, 10, 0, 0, 10, 0, 10, 10, 10, 0, 10, -10, -10, 0, 0, -10, -10, 10, -10, -10, ];
0; 0; 0.9; -36.1195; 10.183; 3; -10.4255; [10, 10, 10, 10, 10, 10, 10, -10, 10, 0, 0, 10, 0, 0, 10, 10, 10, 10, 10, 10, 0, ]; -36.1905; [0, 10, -10, 0, 10, -10, 0, 10, 10, -10, 10, -10, -10, 0, -10, -10, 10, -10, 10, 10, -10, ]; -63.8462; [0, 0, 10, 10, -10, -10, 10, -10, 10, 10, 10, -10, 0, -10, 0, 0, 10, -10, -10, 10, 0, ];
0; 0; 0.9; -33.5448; 9.52064; 4; -15; [0, 10, 10, 10, 10, 10, 10, 0, 10, 0, 0, 10, 10, -10, 10, 0, 10, 10, 0, 10, 0, ]; -33.6364; [-10, 0, 0, 10, -10, -10, 10, 0, 10, 10, -10, 10, 0, -10, 10, 0, 10, 0, 0, 0, -10, ]; -63.0769; [0, 0, 0, -10, 0, 10, -10, 0, 10, -10, 0, -10, 0, -10, 10, -10, -10, -10, 10, -10, -10, ];
0; 0; 0.9; -30.523; 9.80979; 5; -0.561798; [0, 10, 10, 10, 10, 10, 10, 0, 10, 10, 0, 10, 0, 0, 10, 10, 10, 10, 0, 0, 0, ]; -29.6; [0, 0, 0, 10, -10, -10, -10, 0, 10, 10, 0, -10, 10, 0, -10, 10, 10, 10, 0, 10, 10, ]; -60.7143; [0, 10, 0, 10, 10, 10, 10, -10, -10, 10, -10, 0, 0, -10, 10, 0, 10, 10, 10, 0, -10, ];
0; 0; 0.9; -28.6224; 10.9841; 6; -7.14286; [0, 10, 10, 10, 0, 0, 0, 0, 10, 10, 0, 10, 0, 10, 10, 10, 10, 10, 10, 0, -10, ]; -26.9231; [0, 10, 10, 10, 10, 0, 10, -10, 10, 0, -10, 10, 0, 10, 10, 0, 10, 10, 10, -10, 0, ]; -64.6154; [-10, -10, 10, -10, 0, 10, 0, 0, -10, 10, 10, 0, 0, -10, 10, 10, 0, 0, 0, 10, 0, ];
0; 0; 0.9; -24.4894; 8.75329; 7; -1.56627; [0, 10, 10, 10, 10, 0, 10, 0, 10, 10, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 0, ]; -24.4444; [10, 10, 10, 10, 10, 10, 10, -10, -10, 0, -10, 0, 0, 10, 10, 10, 10, 10, 10, 0, 0, ]; -51.875; [-10, -10, 10, 0, 10, 10, 10, -10, -10, 0, -10, 10, -10, -10, 10, 10, 10, 10, 0, 10, -10, ];
0; 0; 0.9; -25.0943; 9.39592; 8; -0.543478; [0, 10, 0, 10, 0, 10, 0, 0, 10, 10, 0, 0, 0, 10, 10, 10, 10, 10, 10, 0, 10, ]; -24.1379; [-10, 10, 10, 10, 10, 10, 10, -10, 10, 0, 0, 0, 10, -10, 10, 10, -10, 10, 10, 10, -0, ]; -49.375; [0, -10, 10, 10, 0, 10, 10, -10, 10, 0, 0, 0, 0, -10, 10, 10, 10, 10, 10, 10, -10, ];
0; 0; 0.9; -21.5447; 6.55289; 9; -8.49057; [0, 10, 10, 10, 0, 10, 10, 10, 0, 0, 0, 10, 0, 0, 10, 10, 10, 0, 10, 10, -10, ]; -22; [0, -10, 0, 10, 0, 10, 0, -10, -10, 10, 0, 0, 0, 10, 10, 10, 0, 10, 10, 10, 0, ]; -45; [10, -10, 10, 10, 0, 10, 0, -10, -10, 10, -10, 0, 0, 0, 10, 10, -10, -10, 0, 0, 0, ];
0; 0; 0.9; -19.3443; 6.09004; 10; -8.49057; [0, 10, 10, 10, 0, 10, 10, 10, 0, 0, 0, 10, 0, 0, 10, 10, 10, 0, 10, 10, -10, ]; -19.6875; [0, -10, 0, 10, 0, 10, 0, 0, 10, 10, -10, 10, 0, 10, 10, 10, 0, 10, 10, 10, 0, ]; -49.375; [0, -10, 10, 10, 0, 10, 0, -10, 10, 10, 10, 0, 0, -10, 10, 10, 10, 0, 0, 10, -10, ];
0; 0; 0.9; -18.1675; 5.66274; 11; -6.60714; [10, 10, 10, 10, 0, 0, 10, 0, 10, 0, 10, -10, 0, 10, 0, 0, 10, 10, 10, 10, 0, ]; -18.2353; [0, -10, 10, 10, 0, 10, 0, -10, -10, 10, 10, 0, 0, 10, 10, 0, 10, 0, 0, 10, 0, ]; -37; [10, -10, 0, 10, 10, 0, 10, -10, 10, 0, 10, -10, -10, -10, 0, 10, 10, 10, 10, 10, 0, ];
