mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
0; 0; 0.9; 0.223428; 0.066758; 0; 0.504231; [10, 0, 0, 10, 10, 10, -10, 0, 10, 10, 0, 10, 10, -10, 0, -10, 10, 0, -10, 10, 0, ]; 0.212865; [10, -10, -10, 10, 0, 0, 0, -10, 10, 10, 10, 0, 0, -10, 10, 0, 10, 0, 0, -10, -10, ]; 0.113302; [0, -10, 10, -10, -10, -10, 0, 0, 10, -10, 0, 0, 10, 0, -10, -10, -10, 10, 0, 0, 10, ];
0; 0; 0.9; 0.253; 0.0805099; 1; 0.715468; [10, 0, 10, 0, 10, 10, 0, 10, -10, 10, 10, 0, 10, 0, 0, 0, 10, 10, 0, 10, 0, ]; 0.247481; [0, 0, 0, 10, 0, 10, 10, 0, -10, -10, -10, -10, 0, -10, 0, 10, 0, 10, -10, 0, 0, ]; 0.113302; [0, -10, 10, -10, -10, -10, 0, 0, 10, -10, 0, 0, 10, 0, -10, -10, -10, 10, 0, 0, 10, ];
0; 0; 0.9; 0.259453; 0.0860288; 2; 0.733856; [0, 10, 0, 10, 0, 10, 10, 0, -10, 0, 0, -10, 10, 10, 10, 10, 10, 0, 10, 10, 0, ]; 0.254073; [0, -10, 0, 10, 0, 10, 0, -10, 0, 0, 0, 10, 10, 0, -10, 10, -10, 0, 0, 10, -10, ]; 0.12911; [10, 10, 10, 0, 10, 0, -10, -10, 0, -10, -10, 0, 0, -10, 0, -10, 10, 10, -10, 0, -10, ];
0; 0; 0.9; 0.260012; 0.0706043; 3; 0.569965; [10, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, -10, -10, -10, ]; 0.247481; [0, 10, 0, 0, 10, -10, -10, -10, 10, 0, 0, -10, 10, 0, 10, -10, 0, 10, 10, 10, 0, ]; 0.146091; [-10, -10, 0, 10, 0, 10, 0, -10, -10, 0, 10, 10, -10, 0, -10, -10, 0, 0, -10, -10, 0, ];
0; 0; 0.9; 0.276723; 0.0743777; 4; 0.569965; [10, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, -10, -10, -10, ]; 0.26761; [-10, 0, -10, 10, 10, 0, 0, -10, 0, 0, 10, -10, 10, -10, 10, 10, 10, 0, -10, 0, 10, ]; 0.140951; [-10, 0, -10, 10, 0, 0, 0, -10, -10, 0, -10, 10, 10, -10, 0, 10, -10, 0, -10, 10, 0, ];
0; 0; 0.9; 0.299568; 0.08307; 5; 0.713909; [10, -10, 0, 10, 0, 10, 10, -10, 10, 10, 10, 10, 10, 10, 10, 0, 0, 10, 0, 10, 10, ]; 0.294718; [-10, -10, 0, 0, 10, 0, 10, 0, -10, 0, 0, 0, 0, 10, 10, 10, -10, 0, 10, -10, 10, ]; 0.127614; [10, -10, 10, 0, 10, -10, 10, 0, 10, -10, 10, 0, 0, -10, -10, 10, -10, -10, 0, 10, 10, ];
0; 0; 0.9; 0.365823; 0.445474; 6; 4.71558; [10, 0, 0, 10, 10, 0, 10, 0, 0, 10, 10, 0, 0, 10, 0, 10, 0, 0, 10, 10, 0, ]; 0.308286; [10, -10, -10, 0, 10, 0, 0, -10, -10, 0, 0, 0, 10, 10, 0, 10, 10, 10, 10, 10, 10, ]; 0.160331; [0, -10, 0, 0, -10, 0, -10, -10, 10, 10, 0, -10, 0, 0, -10, -10, 0, 0, 0, 10, 10, ];
0; 0; 0.9; 0.469034; 0.662386; 7; 4.71558; [10, 0, 0, 10, 10, 0, 10, 0, 0, 10, 10, 0, 0, 10, 0, 10, 0, 0, 10, 10, 0, ]; 0.344825; [10, 0, 10, 10, 0, 10, 10, 0, -10, 10, 10, -10, -10, 0, -10, -10, -10, 10, 0, 10, -10, ]; 0.166478; [10, -10, 10, 0, 0, 0, 10, -10, 0, 10, -10, 10, 0, -10, 0, 0, 10, 0, -10, 10, -10, ];
0; 0; 0.9; 0.376378; 0.1349; 8; 0.765913; [0, -10, 10, 10, 10, 0, 0, 10, 0, 10, 0, 10, 0, 10, 10, 0, 10, 0, 10, 10, 0, ]; 0.354325; [10, 0, 10, 10, 10, -10, 0, 10, 10, 10, -10, 10, 10, 10, -10, 0, -10, 0, 0, -10, 0, ]; 0.170685; [10, 0, 0, -10, 10, -10, 0, -10, 0, -10, -10, -10, 0, -10, 10, 10, 10, 0, 10, 10, 10, ];
0; 0; 0.9; 0.508558; 0.559628; 9; 4.96594; [10, 0, 10, 10, 0, 10, 10, 0, 10, 10, 0, 10, 0, 10, 0, 0, 10, 0, 10, 10, 0, ]; 0.414906; [10, 0, 10, 10, 0, 10, 10, 0, -10, 10, 10, -10, 10, 0, -10, -10, 10, 10, 0, 10, 10, ]; 0.218315; [10, 0, 10, 10, 0, -10, 10, 0, -10, 0, 0, 10, 10, 10, 10, 0, -10, 0, 0, -10, 10, ];
