mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
-10; 10; 0.9; -10505.4; 14458.4; 0; -1931.04; [-20.3229, -19.5988, -8.30417, -22.0894, -8.67029, -21.2234, -16.0026, -8.55342, 1.21218, -14.8123, -13.4358, -6.25609, -4.7621, -7.21695, -14.689, -25.0634, -3.20239, -17.0469, -8.07059, -18.9174, -9.55959, ]; -4205.88; [-6.27691, -2.62766, -17.0789, -1.73546, -16.0935, -11.021, -15.2627, -6.09877, -18.4831, -32.4321, -16.7047, -29.4304, -14.2954, -10.1445, -22.0059, 3.69803, 5.28145, -8.30985, -4.49313, -16.5987, -0.679781, ]; -73692.5; [-18.6687, -3.80858, -28.603, -1.80122, -2.58954, -15.4416, -9.65245, 3.44531, -0.0954498, 0.752547, -8.56968, -8.02931, 2.09295, 2.98666, -17.0861, -1.09784, -4.7281, -6.03211, -8.62719, 0.320278, -16.1182, ];
-10; 10; 0.9; -8624.8; 13543.7; 1; -1676.4; [2.44915, -10.0192, 3.07266, -5.91711, -7.24276, -12.6984, -17.9421, -18.5236, -8.37539, -17.6324, -1.29547, -1.58354, -13.9803, -6.94586, -6.60807, 12.6627, -9.77111, -6.68401, -16.9447, -22.9435, -11.9502, ]; -3182.81; [6.55581, -36.9359, -0.0581925, -1.43458, -1.55592, -29.6125, -16.7916, -11.597, -16.5885, -14.5405, 0.445467, -22.4231, -14.4794, -20.4471, -14.5568, -17.961, -4.81244, -9.40396, -6.38142, -9.35156, 12.5004, ]; -107181; [9.75983, 3.99261, -19.778, -4.43974, -1.64468, -18.2277, -19.3374, -7.66649, -2.24321, -3.08192, -6.95314, -4.65445, -10.5314, -24.9247, -24.8594, -16.6878, -20.808, -1.12173, -21.6325, 2.40214, -5.0662, ];
-10; 10; 0.9; -6525.92; 7703.09; 2; -1547.91; [-18.5923, -5.07245, -16.8753, -7.08013, -12.806, -1.46321, -3.01137, -4.42384, 13.3797, -5.92608, -28.7795, -21.289, -5.8235, -17.1498, -15.2917, -14.8563, -19.6716, 3.84133, -1.38951, 1.2546, 0.386058, ]; -2816.06; [3.558, -12.3949, -2.50412, -4.43974, -22.3695, -22.9188, -19.3374, 2.0886, -3.2631, -6.90814, 0.576886, -4.65445, 10.7529, -4.27646, -21.4682, -16.6878, -0.212654, 1.74019, -14.2184, -9.97841, 5.37364, ]; -38030.9; [-23.25, -17.8185, -0.391404, -23.673, -15.6537, -16.3563, -4.2073, 5.40196, -43.8654, -2.77844, -25.759, 2.61508, 3.98489, -13.5585, -15.6409, -13.6467, -17.0771, -2.37599, -17.282, -17.9261, 7.21609, ];
-10; 10; 0.9; -5453.37; 7140.33; 3; -1463.39; [-16.3484, -1.47396, -24.5511, -13.0018, 6.61331, -23.657, -14.6038, -13.0506, -7.49484, -10.608, -5.49371, -2.78138, -11.6396, -21.2622, 2.44929, 4.41794, -18.7454, 5.2387, 1.77442, -16.1386, -3.39579, ]; -2805.31; [3.17454, -17.6251, -19.778, -14.5903, -7.24276, -12.6984, -17.9421, -18.5236, -21.6822, -6.90814, -22.127, -17.9264, -17.9853, 5.84781, 0.406419, -16.6878, -9.77111, -10.844, -16.2956, -5.84174, -11.9502, ]; -44176; [-5.69058, -13.4057, -20.1063, -23.957, -15.6537, -4.82969, -24.9658, -30.0578, -17.5854, -18.0591, -4.22048, -12.7554, -23.3329, -13.5585, -6.955, -25.0856, -18.3435, -4.22261, 5.25079, -14.0481, 7.21609, ];
-10; 10; 0.9; -4945.76; 6731.18; 4; -1746.26; [-20.3229, -19.5988, -4.58653, -22.0894, -11.0743, -8.42684, -2.37284, -4.42384, -4.40655, -14.8123, -13.4358, -0.208861, -2.68971, -7.21695, -1.77842, -25.0634, -3.20239, -17.0469, -8.07059, 2.53493, -6.41608, ]; -2672.78; [-28.6234, -0.413179, -8.30417, -11.4211, -8.67029, -21.2234, -2.0183, -8.55342, -15.5259, -15.9653, -21.5637, -17.0432, -4.7621, -26.1108, -14.689, -25.0634, -22.7669, -18.9801, -7.09753, -18.9174, -9.55959, ]; -54435.1; [-3.52148, -12.9414, -3.35094, 0.00580558, -7.0845, -3.50738, -17.4985, -8.30737, 1.48425, -18.7425, -23.303, 0.626559, -3.357, -21.9959, -6.61176, 3.0756, 8.06949, 4.92256, -16.9408, -0.718348, -5.61812, ];
-10; 10; 0.9; -6640.15; 13445.3; 5; -1746.26; [-20.3229, -19.5988, -4.58653, -22.0894, -11.0743, -8.42684, -2.37284, -4.42384, -4.40655, -14.8123, -13.4358, -0.208861, -2.68971, -7.21695, -1.77842, -25.0634, -3.20239, -17.0469, -8.07059, 2.53493, -6.41608, ]; -2816.02; [-1.29043, -13.3927, -20.1063, -22.0894, -17.9651, -4.63231, -21.8869, -10.1918, 13.3797, -9.29859, -28.7795, -0.208861, -23.3329, -7.21695, -13.7425, -13.6467, -11.1099, -18.658, -10.0937, -16.5987, -5.87647, ]; -103186; [-7.53049, -4.45282, 13.5109, 0.842372, 5.20161, -3.87916, -7.87283, -13.4305, 1.63603, 11.7421, -14.5584, -5.98222, -13.1251, 2.8839, -15.4361, -6.39001, 1.0863, -22.9378, -8.42499, -0.0175259, -9.36899, ];
-10; 10; 0.9; -6342.5; 11833.9; 6; -1746.26; [-20.3229, -19.5988, -4.58653, -22.0894, -11.0743, -8.42684, -2.37284, -4.42384, -4.40655, -14.8123, -13.4358, -0.208861, -2.68971, -7.21695, -1.77842, -25.0634, -3.20239, -17.0469, -8.07059, 2.53493, -6.41608, ]; -2268.56; [-1.29043, -4.97299, -7.2209, -22.0894, -17.9651, 4.89413, -20.2138, -10.1918, -23.7266, -20.818, -28.7795, -11.7971, -23.3329, -7.21695, -13.7425, -6.60143, -13.0562, -16.1641, -7.7395, -16.5987, -23.1314, ]; -69740.3; [-10.3521, -7.37217, -4.58653, -22.0894, -11.0743, -8.42684, -20.2138, -13.0506, -23.7266, -6.59072, -5.26803, -4.45889, -2.68971, -30.5546, 7.74876, -20.647, -13.0562, 5.2387, -7.7395, 2.53493, -6.41608, ];
-10; 10; 0.9; -5589.98; 9528; 7; -1746.26; [-20.3229, -19.5988, -4.58653, -22.0894, -11.0743, -8.42684, -2.37284, -4.42384, -4.40655, -14.8123, -13.4358, -0.208861, -2.68971, -7.21695, -1.77842, -25.0634, -3.20239, -17.0469, -8.07059, 2.53493, -6.41608, ]; -2209.42; [-17.8645, -20.7018, -16.3287, 4.80084, -3.39799, -20.4765, 7.84202, -13.0843, 17.8019, -25.7841, -23.9213, -19.5537, -23.3329, -7.24795, -25.1131, -22.4731, -0.212654, -10.844, 0.952478, -9.97841, -4.7959, ]; -66709; [-0.339887, -10.8855, -20.1063, 2.90239, -9.08363, -1.46321, -6.0086, 3.48696, 4.15154, -14.8123, 0.524768, -12.7554, -5.8235, -17.1498, -10.5083, -25.0634, -11.7117, -6.01014, -15.8245, -7.48398, -12.5063, ];
-10; 10; 0.9; -6032.97; 8330.23; 8; -1924.08; [-28.6234, -17.6251, -14.7828, -22.0894, -19.1135, -2.28906, -17.9421, -18.5236, -21.6822, -9.29859, -21.5637, -17.9264, -5.8235, -12.1952, -14.689, -13.8908, -22.7669, 3.84133, -16.2956, -18.9174, -16.5798, ]; -2340.8; [-18.6463, -4.97299, -7.2209, -17.9553, -16.4381, 4.89413, -20.2138, 5.37058, -23.7266, -20.818, -21.4208, -11.7971, -11.6396, -5.43796, 7.74876, -6.60143, -13.0562, -16.1641, -7.7395, -16.1386, -23.1314, ]; -44176; [3.74632, -20.0154, 8.59092, -1.15604, -5.38877, -7.97846, -22.927, -30.4959, -7.84506, -24.5611, -29.2022, -18.8967, -3.70037, -5.14617, 7.11104, -23.1641, -2.78259, -8.16595, -6.14783, -5.92444, -2.57021, ];
-10; 10; 0.9; -3938.63; 4999.28; 9; -1924.08; [-28.6234, -17.6251, -14.7828, -22.0894, -19.1135, -2.28906, -17.9421, -18.5236, -21.6822, -9.29859, -21.5637, -17.9264, -5.8235, -12.1952, -14.689, -13.8908, -22.7669, 3.84133, -16.2956, -18.9174, -16.5798, ]; -2209.39; [-1.29043, -13.3927, -15.5269, -23.957, -13.064, -12.7741, 7.84202, -13.0843, -23.8421, -21.7349, -18.5685, -14.8929, -11.6396, -11.8683, -25.1131, -13.6467, -13.0562, -25.6683, -5.88834, -6.43231, -14.7989, ]; -34807.1; [2.0191, -22.0321, -12.6827, -9.4866, -9.77227, 0.499806, -28.8209, -4.76661, -21.6434, 3.47341, -14.9083, -18.275, -12.8254, -4.37797, -4.75221, -15.397, -10.8374, 5.14911, -12.3008, -9.62404, 6.51573, ];
