mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
-10; 10; 0.9; -482.323; 1438.94; 0; -60.1244; [-7.36287, -3.71857, -17.0137, -18.9302, 12.6766, 3.37874, -24.6551, -8.29773, -12.6373, -14.7381, -7.55688, -15.5243, -18.5152, -7.26649, -15.9658, -21.1069, -2.73369, -2.97206, -0.614115, -24.6656, -14.2211, ]; -72.7827; [-15.3987, -11.5087, -5.34528, -0.493137, -1.3282, -7.49036, -12.3615, -24.6415, -1.61747, 1.77426, -2.10231, -34.9285, -18.8352, 4.30212, -8.55, -19.9136, 4.65857, -8.70424, -14.7082, -4.70018, -25.0765, ]; -8808.95; [-19.4402, -6.43503, -24.8886, -8.5742, -16.6118, -0.545547, -12.3393, -17.1593, -1.64184, -3.98157, -14.9308, -13.2793, -4.13529, -20.7886, -1.26938, -21.6398, -16.4399, -25.8371, -4.84404, -17.8595, 7.53799, ];
-10; 10; 0.9; -472.223; 1403.67; 1; -55.2387; [-16.3509, -1.90961, -22.7651, -15.3979, -16.5909, -36.9638, -2.93546, 2.72806, -2.28335, -10.9605, -7.76062, -30.8243, -31.0714, -10.8842, -8.62441, -20.8631, 1.75627, 6.09968, -21.0552, -14.8262, -1.48642, ]; -72.0385; [-34.1038, -13.3344, 16.3646, -18.2392, -16.4546, -3.68962, -26.6947, 0.447571, 6.32239, -0.326403, -21.4095, -20.2008, 12.8319, -4.84241, -8.67069, -15.1286, -3.37824, -13.1192, -20.0161, -14.31, -22.5701, ]; -8808.95; [-19.4402, -6.43503, -24.8886, -8.5742, -16.6118, -0.545547, -12.3393, -17.1593, -1.64184, -3.98157, -14.9308, -13.2793, -4.13529, -20.7886, -1.26938, -21.6398, -16.4399, -25.8371, -4.84404, -17.8595, 7.53799, ];
-10; 10; 0.9; -503.873; 1636.39; 2; -54.673; [-24.6878, -17.8579, -19.0366, -9.22607, -3.62605, 2.83322, -15.8567, -15.8757, -0.065931, -13.9014, -3.44211, -6.47023, -10.0002, -4.02449, 4.74712, -22.6307, -22.4222, -24.4384, -8.85341, -0.83845, -3.82329, ]; -72.8373; [-8.90045, 8.85605, -5.90226, -10.9893, -27.6238, -4.65419, -17.8646, -3.2125, -12.6635, -14.4549, 4.67427, -16.8023, 6.50017, -21.2554, -7.06619, -16.0682, -16.2814, -13.803, 12.7366, -8.17762, -12.6929, ]; -8814.68; [-9.98904, -11.2798, -11.4119, -13.0253, -9.79848, -16.3969, -10.6636, -19.0919, -10.2382, -5.19636, 5.6468, -10.9409, -6.52021, -30.9531, 3.92324, -15.3997, -19.5868, -5.35531, -10.7368, -10.9045, -0.337107, ];
-10; 10; 0.9; -2789.83; 16495.4; 3; -54.673; [-24.6878, -17.8579, -19.0366, -9.22607, -3.62605, 2.83322, -15.8567, -15.8757, -0.065931, -13.9014, -3.44211, -6.47023, -10.0002, -4.02449, 4.74712, -22.6307, -22.4222, -24.4384, -8.85341, -0.83845, -3.82329, ]; -75.1531; [-4.92442, 8.85605, -14.3502, -10.9893, -12.9863, -4.65419, -8.62932, -12.0109, -12.6635, -14.4549, -4.70372, -16.8023, 6.50017, -21.2554, -2.90497, -16.0682, -22.2094, -5.2015, -6.2684, -8.17762, -4.18568, ]; -156581; [-8.90045, 8.85605, -7.74759, 4.31942, -14.5109, -4.65419, -1.32858, -13.2251, -12.6635, -8.55287, -5.9777, -11.1417, 6.50017, 0.576666, -7.06619, -16.0682, -16.2814, -13.803, 12.7366, -8.17762, -12.6929, ];
-10; 10; 0.9; -9397.08; 57268; 4; -57.507; [-14.8803, -12.1697, -3.79921, -3.94032, -3.62605, -17.9121, -3.01516, -7.41143, -8.05631, -15.2878, 3.04087, -24.3082, -4.44795, -17.7662, -3.21339, -6.17285, -22.4222, -17.442, -11.353, -6.801, -1.92676, ]; -73.9649; [11.8712, 8.98967, -16.1056, -0.0563534, -1.02729, -36.3278, -29.5004, 13.5888, -11.8004, -6.69802, -23.0485, -29.2891, -2.93784, -3.94106, 1.94395, -18.5132, -5.22881, -3.52167, 3.40013, 5.41827, -4.09743, ]; -528771; [-1.672, -15.1686, -2.85079, -11.8126, -14.6195, -3.86835, -13.2975, 0.476979, -13.433, -6.93289, -22.5823, -1.75576, -2.94098, -9.44289, -10.2446, -17.7123, -16.0198, -10.2198, -14.0982, -14.9267, -18.6235, ];
-10; 10; 0.9; -8273.47; 75182.8; 5; -60.1244; [-7.36287, -3.71857, -17.0137, -18.9302, 12.6766, 3.37874, -24.6551, -8.29773, -12.6373, -14.7381, -7.55688, -15.5243, -18.5152, -7.26649, -15.9658, -21.1069, -2.73369, -2.97206, -0.614115, -24.6656, -14.2211, ]; -75.0719; [-12.4006, -17.8579, 1.39452, -13.1313, -3.62605, -0.867589, -15.8567, 5.29084, -0.065931, -3.22724, -3.44211, -6.47023, -16.568, -8.19063, 0.556456, -6.17285, -22.4222, -2.26644, -8.85341, -4.70018, -25.0765, ]; -755177; [-9.32519, -17.8579, -14.3502, -7.62439, 2.84142, -20.3375, -20.1357, -16.6917, -4.86515, -14.4549, 1.13404, -12.3368, -12.4938, -24.7503, -8.55, -16.0682, -22.2094, -9.06379, -6.2684, -8.17762, -3.82329, ];
-10; 10; 0.9; -355.015; 1179.66; 6; -59.843; [-9.32519, 1.07856, -12.5604, -9.37118, 0.160171, -20.3375, -20.1357, -22.987, -4.86515, -27.2896, 7.03503, -15.5085, -5.65976, -2.21735, -13.1702, -6.92472, -24.6342, -15.5862, 3.29861, 5.39346, -30.2352, ]; -72.196; [-9.32519, 8.74687, -6.64538, -7.62439, -2.51066, -3.68962, -26.6947, -16.6917, -4.86515, -27.2896, 7.03503, -4.83011, -12.4938, -8.19063, -8.55, -19.9136, -6.86393, -15.5862, -10.5027, -10.2965, -2.08226, ]; -8810.62; [-2.75052, -6.94354, -12.5604, -13.8124, -12.7099, -19.7704, -26.6947, -18.2062, 7.81692, -7.30599, 7.03503, -8.96838, 4.54456, -8.19063, -8.55, -6.92472, 0.644411, -25.8371, -10.5027, -10.2965, -30.2352, ];
-10; 10; 0.9; -601.656; 2750.19; 7; -59.843; [-9.32519, 1.07856, -12.5604, -9.37118, 0.160171, -20.3375, -20.1357, -22.987, -4.86515, -27.2896, 7.03503, -15.5085, -5.65976, -2.21735, -13.1702, -6.92472, -24.6342, -15.5862, 3.29861, 5.39346, -30.2352, ]; -70.9194; [-6.9122, -2.29547, -3.79921, 10.895, -2.51066, -20.3375, -15.8567, -10.1544, -10.8648, -7.94189, 3.44211, -6.47023, 4.31836, -13.5056, -13.1702, -11.54, -6.05577, -13.4167, -13.4697, -21.6704, -13.9763, ]; -25782.3; [-8.09904, -8.78431, 11.2874, -10.2845, -8.67709, -9.14993, -15.5343, -16.8641, -14.1487, -3.29992, -10.6365, -6.56393, -17.1242, -4.4672, -17.4447, -4.81074, -14.2266, -8.19305, -28.7181, -9.48168, 15.8638, ];
-10; 10; 0.9; -643.006; 3165.08; 8; -58.5457; [-7.36287, -1.39345, -3.8957, -7.62439, 12.6766, -0.867589, -20.1357, -22.1619, 2.83742, -27.2896, -7.55688, -15.5243, -5.16955, -24.7503, -13.1702, -4.57642, -6.86393, -25.8371, -9.1624, -21.4178, -14.2211, ]; -71.2627; [-9.32519, 1.07856, -11.3374, -23.4846, -15.9208, -7.10763, -14.7394, -16.6917, 6.32239, 4.81821, -12.7669, -6.7484, 5.16955, -24.7503, -13.1702, -25.9356, -4.37932, -15.5862, -11.6573, 5.39346, -9.55437, ]; -30242.6; [-23.2905, 1.07856, -7.46023, -7.62439, -15.9208, -20.3375, -26.6947, -16.6917, -12.6635, -16.2767, -25.0623, -20.2008, -5.16955, 0.257444, -7.06619, -25.9356, -16.2814, -25.8371, -9.1624, -8.54662, -2.08226, ];
-10; 10; 0.9; -508.348; 2095.58; 9; -58.5457; [-7.36287, -1.39345, -3.8957, -7.62439, 12.6766, -0.867589, -20.1357, -22.1619, 2.83742, -27.2896, -7.55688, -15.5243, -5.16955, -24.7503, -13.1702, -4.57642, -6.86393, -25.8371, -9.1624, -21.4178, -14.2211, ]; -71.399; [-9.32519, -6.94354, -17.0137, -9.22607, -2.51066, -7.75163, -9.77862, -13.3967, 7.81692, -7.94189, 7.03503, -8.96838, -18.5152, -5.78374, -9.28848, -6.92472, 0.644411, -25.8371, -8.03281, 5.39346, -2.08226, ]; -18496; [-9.95328, -26.7297, -2.39995, -13.8124, -10.5428, -19.7704, -26.6947, -14.0957, -2.36226, -7.30599, -3.89206, -27.5566, -17.0936, -8.19063, -10.5372, 3.47221, -31.734, -22.2083, -10.5027, -12.6896, -5.21231, ];
