mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100; Genes(Scores(99,1),:);
0; 10; 1; -2447.32; 4419.51; 0; -36.8714; [-1.3046, -3.66319, -8.13673, -15.4664, 7.09272, -0.165063, 9.90433, 0.888376, -2.01748, -2.40542, -6.78873, -5.34655, -15.6112, -6.45294, -0.601228, -11.7196, 11.4591, 0.461111, -6.76192, -7.8097, -10.1385, ]; -620.36; -9.83473, 0.0269284, 16.2435, -1.70081, -3.01615, 8.31994, 3.00315, 3.23676, -21.1158, 10.4769, 25.1082, -17.9015, 18.4716, 4.16408, -1.63116, 7.33249, -14.6476, -21.0719, 7.80286, 8.90333, -12.1268, ]; -30240; -22.3159, -5.79227, -2.04465, -9.9448, -8.6433, 6.27255, 17.6818, -4.7929, 18.3974, 7.50155, 15.2472, -3.19345, 3.64129, 17.3368, 2.30678, 16.2408, 11.2542, 18.1287, 0.88205, 11.5683, 1.23963, ];
0; 10; 1; -1092.73; 1601.44; 1; -36.8714; [-1.3046, -3.66319, -8.13673, -15.4664, 7.09272, -0.165063, 9.90433, 0.888376, -2.01748, -2.40542, -6.78873, -5.34655, -15.6112, -6.45294, -0.601228, -11.7196, 11.4591, 0.461111, -6.76192, -7.8097, -10.1385, ]; -336.681; -12.0313, -20.0334, -10.4173, -4.18112, 15.3268, -1.78562, 1.14904, 7.75723, -3.90707, 2.92049, -2.85147, -8.57188, 14.8754, -2.52577, -12.8911, -9.72026, 6.93571, -1.18726, 12.0958, -7.14587, -16.0436, ]; -7591.68; -0.847339, 3.17929, 8.70477, -0.742194, 2.98444, 6.92544, -5.64507, 0.522069, 1.20129, -5.22913, 18.0794, 14.5027, -6.52986, 2.82962, 5.63623, 3.19344, -5.42738, -21.9027, 0.440354, -7.74941, -6.90871, ];
0; 10; 1; -823.232; 1467.52; 2; -37.2808; [-8.35286, -2.19448, -2.41993, 10.1156, -14.8745, 0.0260336, 12.692, -8.15779, -0.277689, 18.6208, -1.70813, 21.6933, -3.08502, -25.6851, -13.3747, 10.5325, 17.9217, -9.16524, 6.00186, -5.57047, -6.68293, ]; -202.142; -15.4024, -5.5619, 6.13494, -4.24152, 11.8008, -18.7589, 19.8584, -0.124653, -0.0321084, 3.84704, -9.23014, -18.2476, 1.65563, -12.1547, -7.89844, -9.461, -6.69511, -9.41378, 3.0498, 10.6246, 5.64359, ]; -8537.13; -8.3245, 26.1501, 9.98586, -5.89492, 2.01378, 7.75117, 15.0679, 17.1907, -2.35326, 3.37105, -8.55234, -3.54602, -0.0267755, 12.1381, 25.2934, 11.5481, 9.49326, -16.0807, 2.96519, -24.1266, 2.71129, ];
0; 10; 1; -391.45; 719.869; 3; -37.2808; [-8.35286, -2.19448, -2.41993, 10.1156, -14.8745, 0.0260336, 12.692, -8.15779, -0.277689, 18.6208, -1.70813, 21.6933, -3.08502, -25.6851, -13.3747, 10.5325, 17.9217, -9.16524, 6.00186, -5.57047, -6.68293, ]; -123.099; -9.00541, 7.05083, -20.3752, 0.597605, -2.37067, -7.89369, -17.5628, 27.7813, -18.9622, -1.75746, -4.59394, 6.83383, -10.4912, -12.2858, 2.82646, -0.88087, -1.20343, 6.06137, -10.2983, -1.34488, 18.0106, ]; -5435.13; -0.32587, -1.16041, -0.687609, 4.31353, -4.18196, -0.057734, 8.47025, 4.2923, 12.5306, 2.53964, 8.21301, -7.6195, 1.97999, 6.20146, -15.9826, -7.31736, 0.710905, -7.18464, -17.8898, 13.6287, 6.4383, ];
0; 10; 1; -715.213; 3090.14; 4; -38.7274; [4.5509, -7.78077, -15.1433, 18.0734, 5.86588, -10.3442, 4.7442, -14.9567, -6.62331, -20.3339, 2.94785, -9.40006, -5.67874, 5.12521, -7.03717, 11.2954, -1.4132, -8.99771, 9.38097, -9.18992, 6.80015, ]; -69.9941; -9.00541, -5.5619, -17.9236, -7.68193, -2.37067, -15.1775, 19.8584, -0.124653, -0.0321084, 3.84704, -6.16267, -6.05096, -10.4912, 3.70313, -7.89844, -9.461, -1.20343, 6.06137, -10.2983, -1.34488, 5.64359, ]; -30224.1; -21.2234, -16.504, -0.00832016, 19.5092, -4.42064, -12.8961, -17.1561, -19.6774, -3.84188, -0.930822, 11.373, 0.362163, -16.9051, -7.27079, 0.559222, -0.682761, 14.4867, -16.3087, -21.3228, -2.52026, -17.6225, ];
0; 10; 1; -355.919; 1155.41; 5; -37.8952; [4.5509, -7.78077, 6.13494, 18.0734, 5.86588, -18.7589, -17.5628, -14.9567, -6.62331, -0.189288, 2.94785, -9.40006, -5.67874, -12.1547, -7.03717, 3.22245, -1.4132, -8.99771, 3.0498, 10.6246, 4.07256, ]; -57.4374; -9.00541, 1.9508, -17.9236, -7.68193, 10.0423, -15.1775, -17.5628, 3.23676, -0.0321084, 3.84704, -0.325756, -6.05096, -10.4912, 3.70313, -7.89844, 7.33249, -1.20343, 6.06137, -10.2983, -1.34488, -7.16257, ]; -9048.6; 1.99903, 4.4434, 6.13494, -9.77294, 11.8008, -10.3442, 15.3474, -0.124653, 7.05608, -0.930822, -6.16267, 15.971, -5.67874, -1.5804, -3.99872, 3.22245, 8.12034, 0.178146, 9.38097, 10.6246, -11.2024, ];
0; 10; 1; -351.369; 867.05; 6; -45.5527; [-9.00541, -5.5619, -17.9236, -4.24152, -0.492253, -18.7589, -13.9899, 0.629385, -11.2944, 3.26164, -13.0116, 17.615, 14.8815, -21.7072, 8.94098, -9.461, 4.86499, 4.15273, -2.87489, -3.36271, 7.66048, ]; -57.2392; -15.6249, 11.5668, 7.73256, -8.14885, -1.11917, -2.16908, 19.6744, 10.0694, -19.4727, 15.3768, -11.3336, 0.362163, -10.9821, -7.27079, -3.99872, 10.2078, -11.4057, -12.2178, -21.3228, 15.2409, 17.5146, ]; -5435.13; -0.32587, -1.16041, -0.687609, 4.31353, -4.18196, -0.057734, 8.47025, 4.2923, 12.5306, 2.53964, 8.21301, -7.6195, 1.97999, 6.20146, -15.9826, -7.31736, 0.710905, -7.18464, -17.8898, 13.6287, 6.4383, ];
0; 10; 1; -295.409; 830.04; 7; -45.5527; [-9.00541, -5.5619, -17.9236, -4.24152, -0.492253, -18.7589, -13.9899, 0.629385, -11.2944, 3.26164, -13.0116, 17.615, 14.8815, -21.7072, 8.94098, -9.461, 4.86499, 4.15273, -2.87489, -3.36271, 7.66048, ]; -55.7644; -15.4024, -7.78077, -1.8683, -9.77294, 11.8008, -5.74831, -12.3888, -6.78387, 7.05608, -12.2204, -13.3665, -18.2476, 14.856, 5.12521, -5.95774, 3.22245, 4.42313, -0.611375, -10.2983, -3.36271, -7.16257, ]; -5435.13; -0.32587, -1.16041, -0.687609, 4.31353, -4.18196, -0.057734, 8.47025, 4.2923, 12.5306, 2.53964, 8.21301, -7.6195, 1.97999, 6.20146, -15.9826, -7.31736, 0.710905, -7.18464, -17.8898, 13.6287, 6.4383, ];
0; 10; 1; -226.124; 640.973; 8; -45.5527; [-9.00541, -5.5619, -17.9236, -4.24152, -0.492253, -18.7589, -13.9899, 0.629385, -11.2944, 3.26164, -13.0116, 17.615, 14.8815, -21.7072, 8.94098, -9.461, 4.86499, 4.15273, -2.87489, -3.36271, 7.66048, ]; -55.8562; -15.6249, -7.78077, -17.9236, 18.0734, 11.8008, -10.3442, 18.6241, -6.78387, -18.9622, -0.189288, -11.3336, -0.93388, -6.60496, 3.70313, -7.03717, 7.88038, -11.4057, 6.06137, -10.2983, 15.2409, 17.028, ]; -5435.13; -0.32587, -1.16041, -0.687609, 4.31353, -4.18196, -0.057734, 8.47025, 4.2923, 12.5306, 2.53964, 8.21301, -7.6195, 1.97999, 6.20146, -15.9826, -7.31736, 0.710905, -7.18464, -17.8898, 13.6287, 6.4383, ];
0; 10; 1; -233.322; 666.018; 9; -46.4684; [-15.4024, -7.78077, 6.13494, -9.77294, -2.37067, -5.74831, -17.5628, -10.3143, -6.62331, -12.2204, -6.16267, -18.2476, 4.8228, -12.1547, -5.95774, 3.22245, 8.12034, -9.41378, 20.9911, -1.34488, 4.07256, ]; -56.2586; -9.00541, 4.4434, -11.1211, -20.7904, 15.1601, -5.74831, -17.5628, -10.3143, 5.71257, -12.2204, 15.7846, 9.72468, 4.8228, 6.58107, 2.03634, -6.63758, -14.6476, 6.06268, 14.8345, -6.77008, 0.681489, ]; -5435.13; -0.32587, -1.16041, -0.687609, 4.31353, -4.18196, -0.057734, 8.47025, 4.2923, 12.5306, 2.53964, 8.21301, -7.6195, 1.97999, 6.20146, -15.9826, -7.31736, 0.710905, -7.18464, -17.8898, 13.6287, 6.4383, ];
0; 10; 1; -234.735; 653.785; 10; -37.6724; [-9.00541, 4.4434, -11.1211, 18.0734, 15.1601, -10.3442, -17.5628, -10.3143, -18.9622, -12.2204, -11.3336, -0.93388, -6.60496, 6.58107, -7.03717, -6.63758, -11.4057, 6.06268, -10.2983, -3.36271, 0.681489, ]; -55.572; -9.00541, 4.4434, -1.8683, -20.7904, 15.1601, -5.74831, -17.5628, -10.3143, -18.9622, -12.2204, -13.3665, -18.2476, 4.8228, 5.12521, -5.95774, 3.22245, -14.6476, 6.06268, 14.8345, -3.36271, 0.681489, ]; -5435.13; -0.32587, -1.16041, -0.687609, 4.31353, -4.18196, -0.057734, 8.47025, 4.2923, 12.5306, 2.53964, 8.21301, -7.6195, 1.97999, 6.20146, -15.9826, -7.31736, 0.710905, -7.18464, -17.8898, 13.6287, 6.4383, ];
0; 10; 1; -224.81; 656.557; 11; -37.6724; [-9.00541, 4.4434, -11.1211, 18.0734, 15.1601, -10.3442, -17.5628, -10.3143, -18.9622, -12.2204, -11.3336, -0.93388, -6.60496, 6.58107, -7.03717, -6.63758, -11.4057, 6.06268, -10.2983, -3.36271, 0.681489, ]; -56.4174; -15.4024, -7.78077, 6.13494, -9.77294, 11.8008, -10.3442, -12.3888, -6.78387, 7.05608, -0.189288, -13.3665, -18.2476, 4.8228, -12.1547, 2.03634, 3.22245, 8.12034, -9.41378, 20.9911, 10.6246, -11.2024, ]; -5435.13; -0.32587, -1.16041, -0.687609, 4.31353, -4.18196, -0.057734, 8.47025, 4.2923, 12.5306, 2.53964, 8.21301, -7.6195, 1.97999, 6.20146, -15.9826, -7.31736, 0.710905, -7.18464, -17.8898, 13.6287, 6.4383, ];
0; 10; 1; -313.355; 971.455; 12; -47.208; [-15.4024, 4.4434, -15.1433, -9.77294, 15.1601, -10.3442, -17.5628, -10.3143, -6.62331, -12.2204, -6.16267, -18.2476, 4.8228, 5.12521, 2.03634, -6.63758, 8.12034, -8.99771, -10.2983, -1.34488, 0.681489, ]; -63.1209; -9.00541, 4.4434, -17.9236, -5.55564, 10.0423, -5.74831, 18.6241, -6.78387, -6.62331, 3.26164, -13.3665, 17.615, -6.60496, 5.12521, 2.03634, 3.22245, 11.029, 4.15273, -10.2983, -3.36271, -11.2024, ]; -7357.53; -15.6249, 4.4434, -11.1211, -9.77294, 15.1601, -5.74831, -17.5628, -10.3143, -18.9622, -12.2204, -6.16267, -0.93388, -6.60496, 5.12521, -7.03717, -6.63758, -11.4057, 6.06268, -10.2983, -3.36271, 4.07256, ];
